gene_id,log2fc,padj,comparison,source_sheet
B9J08_005560,-3.077447365,5.54e-12,AR0382_in_vitro_vs_AR0387_in_vitro,supp1_annot
B9J08_003908,-3.441573375,2.1e-13,AR0382_in_vitro_vs_AR0387_in_vitro,supp1_annot
B9J08_003981,-4.034310333,9.44e-17,AR0382_in_vitro_vs_AR0387_in_vitro,supp1_annot
B9J08_000656,-4.267964232,4.56e-21,AR0382_in_vitro_vs_AR0387_in_vitro,supp1_annot
B9J08_002480,-5.266080783,1.86e-28,AR0382_in_vitro_vs_AR0387_in_vitro,supp1_annot
B9J08_001549,-6.124676706,8.9e-15,AR0382_in_vitro_vs_AR0387_in_vitro,supp1_annot
B9J08_002136,-10.0,1.1e-77,AR0382_in_vitro_vs_AR0387_in_vitro,supp1_annot
B9J08_003891,4.951269586,2.32e-26,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001458,4.466069724,7.1e-26,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004100,3.676295329,1.35e-49,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004109,3.139694524,3.36e-61,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004544,2.976287487,9.51e-18,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000846,2.865475738,0.00932734,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004451,2.859214855,0.00024047,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004112,2.557540007,1.84e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002459,2.548008686,0.000805119,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000595,2.493072142,6.89e-18,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001899,2.4828413,7.46e-38,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000724,2.455685682,7.23e-08,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001362,2.451522275,2.84e-08,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002381,2.428297226,6.53e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004987,2.32189263,9.74e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001621,2.26987352,5.3e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004446,2.263328713,8.84e-14,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004176,2.232642501,0.000364348,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001861,2.22866037,0.000251199,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000211,2.177339215,0.000157798,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
