run_accession,sample_id,condition,label
SRR28790270,SRR28790270,AR0382_in_vitro,AR0382_in_vitro
SRR28790272,SRR28790272,AR0382_in_vitro,AR0382_in_vitro
SRR28790274,SRR28790274,AR0382_in_vitro,AR0382_in_vitro
SRR28790276,SRR28790276,AR0387_in_vitro,AR0387_in_vitro
SRR28790278,SRR28790278,AR0387_in_vitro,AR0387_in_vitro
SRR28790280,SRR28790280,AR0387_in_vitro,AR0387_in_vitro
SRR28791430,SRR28791430,AR0382_in_vivo,AR0382_in_vivo
SRR28791431,SRR28791431,AR0382_in_vivo,AR0382_in_vivo
SRR28791432,SRR28791432,AR0382_in_vivo,AR0382_in_vivo
SRR28791433,SRR28791433,AR0387_in_vivo,AR0387_in_vivo
SRR28791434,SRR28791434,AR0387_in_vivo,AR0387_in_vivo
SRR28791437,SRR28791437,AR0387_in_vivo,AR0387_in_vivo
SRR28791438,SRR28791438,AR0387_in_vivo,AR0387_in_vivo
